airline,nb_bumped,total_passengers,bumps_per_10k
UNITED AIRLINES,287464440199,70030765.0,41048307.868548915
EXPRESSJET AIRLINES,3326,27858678.0,1.1938829258157908
SPIRIT AIRLINES,2920,32304571.0,0.9038968510060078
SOUTHWEST AIRLINES,18585,228142036.0,0.8146240967184145
JETBLUE AIRWAYS,3615,53245866.0,0.6789259470397194
SKYWEST AIRLINES,3094,47091737.0,0.6570154759846722
AMERICAN AIRLINES,11115,197365225.0,0.5631691195852765
FRONTIER AIRLINES,1228,22954995.0,0.5349598202918363
ALASKA AIRLINES,1392,36543121.0,0.3809198453520158
VIRGIN AMERICA,165,6090029.0,0.27093467042603575
VIRGINAMERICA,77,5927938.0,0.12989339632094668
DELTA AIR LINES,1591,197033215.0,0.08074780691164178
HAWAII ANAIRLINES,122,16577572.0,0.07359340680287801
